id,status,task,files,verify
F19,done,拆分 job-detail.js 的基础 view helper，把文本、链接、modal 和事件状态 DOM 工具迁入 job-detail-view.js,"src/js/job-detail.js;src/js/job-detail-view.js","node --check src/js/job-detail.js; node --check src/js/job-detail-view.js"
F20,done,拆分 job-detail.js 的 artifacts/markdown 业务块，把产物清单、Markdown 合约和图片预览迁入 job-detail-artifacts.js,"src/js/job-detail.js;src/js/job-detail-artifacts.js","node --check src/js/job-detail.js; node --check src/js/job-detail-artifacts.js"
F21,done,拆分 job-detail.js 的 events/stage-history 业务块，把阶段历史、事件渲染和事件分页加载迁入 job-detail-events.js,"src/js/job-detail.js;src/js/job-detail-events.js","node --check src/js/job-detail.js; node --check src/js/job-detail-events.js"
F22,done,轻量治理全局 state，新增分域默认值和 reset/update helpers 并替换重复 job/upload/recent reset,"src/js/state.js;src/js/features/job-runtime/controller.js;src/js/features/job-runtime/runtime-reset.js;src/js/job-ui-actions.js;src/js/features/app-actions/view.js;src/js/features/recent-jobs/state.js;src/js/features/upload/controller.js","node --check src/js/state.js; node --check src/js/features/job-runtime/controller.js; node --check src/js/features/job-runtime/runtime-reset.js; node --check src/js/job-ui-actions.js"
F23,done,拆分 status-detail-dialog Web Component，把长模板和翻译诊断渲染 helper 迁出组件类,"src/js/components/dialogs/status-detail-dialog.js;src/js/components/dialogs/status-detail-dialog-template.js;src/js/components/dialogs/status-detail-dialog-translation.js","node --check src/js/components/dialogs/status-detail-dialog.js; node --check src/js/components/dialogs/status-detail-dialog-template.js; node --check src/js/components/dialogs/status-detail-dialog-translation.js"
F24,done,拆分 job-status-card Web Component 模板，把状态卡 DOM 模板迁入 job-status-card-template.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-template.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-template.js"
F25,done,拆分 job-status-card Web Component 的阶段 Lottie 动画控制，把加载、切换和清理逻辑迁入 job-status-card-animation.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-animation.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-animation.js"
F26,done,拆分 job-status-card Web Component 的进度和动作渲染 helper，把进度条、耗时、取消/主页和结果动作 DOM 更新迁入 job-status-card-rendering.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-rendering.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-rendering.js"
F27,done,拆分 job-status-card Web Component 的阶段流 helper，把 OCR/翻译/渲染/完成步骤按钮状态与选中态解析迁入 job-status-card-stage-flow.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-stage-flow.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-stage-flow.js"
F28,done,拆分 status-detail-dialog Web Component 的概览/失败/事件渲染 helper，把 headline、运行时、失败诊断、事件列表和阶段历史 DOM 更新迁入 status-detail-dialog-rendering.js,"src/js/components/dialogs/status-detail-dialog.js;src/js/components/dialogs/status-detail-dialog-rendering.js","node --check src/js/components/dialogs/status-detail-dialog.js; node --check src/js/components/dialogs/status-detail-dialog-rendering.js"
F29,done,拆分 status-detail-dialog 翻译诊断 DOM 查询边界，把 summary/list/detail/replay 元素收集迁入 status-detail-dialog-translation-dom.js,"src/js/components/dialogs/status-detail-dialog-translation.js;src/js/components/dialogs/status-detail-dialog-translation-dom.js","node --check src/js/components/dialogs/status-detail-dialog-translation.js; node --check src/js/components/dialogs/status-detail-dialog-translation-dom.js"
F30,done,拆分 recent-jobs-dialog Web Component，把最近任务弹窗模板和列表/空态/错误/分页渲染迁入独立 helper,"src/js/components/dialogs/recent-jobs-dialog.js;src/js/components/dialogs/recent-jobs-dialog-template.js;src/js/components/dialogs/recent-jobs-dialog-rendering.js","node --check src/js/components/dialogs/recent-jobs-dialog.js; node --check src/js/components/dialogs/recent-jobs-dialog-template.js; node --check src/js/components/dialogs/recent-jobs-dialog-rendering.js"
F31,done,拆分 reader-dialog Web Component，把模板、loading/toolbar/frame 渲染和事件绑定迁入独立 helper，并让 reader-dialog view 优先通过组件方法访问 iframe 与事件,"src/js/components/dialogs/reader-dialog.js;src/js/components/dialogs/reader-dialog-template.js;src/js/components/dialogs/reader-dialog-rendering.js;src/js/components/dialogs/reader-dialog-events.js;src/js/features/reader-dialog/view.js","node --check src/js/components/dialogs/reader-dialog.js; node --check src/js/components/dialogs/reader-dialog-template.js; node --check src/js/components/dialogs/reader-dialog-rendering.js; node --check src/js/components/dialogs/reader-dialog-events.js; node --check src/js/features/reader-dialog/view.js"
F32,done,修复主页短窗口下底部入口按钮不可点击问题，为空闲态 query-entry 增加短高度固定底部布局和可点击层级,"src/styles/components.css;styles.css","npm run build:css; Chromium DevTools 鼠标点击复测 developer/credentials/recent buttons"
F33,done,将主页开发者入口改成 bbpp 彩蛋触发，默认隐藏 developer 按钮并在非输入框连续按 bbpp 后显示,"src/js/components/layout/app-shell-header.js;src/js/features/developer/view.js","node --check src/js/components/layout/app-shell-header.js; node --check src/js/features/developer/view.js; Chromium DevTools 复测 bbpp reveal"
F34,done,增强接口设置入口点击兜底，为 credentials-btn 增加 document 委托点击处理，确保点击图标内部 SVG 也能打开接口设置弹窗,"src/js/features/credentials/view.js","node --check src/js/features/credentials/view.js; Chromium DevTools 鼠标点击复测 credentials-btn"
F35,done,修复最近任务列表 PDF 条目点击不稳，将 recent-job-item 从逐项绑定改为列表级事件委托，点击条目内部文字或标签也能启动任务轮询,"src/js/components/dialogs/recent-jobs-dialog-rendering.js;src/js/features/recent-jobs/view.js","node --check src/js/components/dialogs/recent-jobs-dialog-rendering.js; node --check src/js/features/recent-jobs/view.js; delegated click smoke"
