section,path,line,target,snippet,comment_flag,action,classification
UI -> Vietnamese,frontend/src/pages/home/features/settings/SettingsHubDialog.tsx,191,Vietnamese,CredentialsWorkbench，状态同源。 */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/settings/SettingsHubDialog.tsx,233,Vietnamese,{/* AppUpdateBanner:按钮 + 详情 dialog 合并一体&#40;蓝图 §5&#41;。,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/settings/SettingsHubDialog.tsx,234,Vietnamese,挂载生命周期与后台自检解耦的结论见文件头注释。 */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/settings/ThemeAppearancePanel.tsx,30,Vietnamese,{/* 说明文案由设置面板的 pane-head 承担，此处不再重复 hint */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/StatusDetailDialog.tsx,128,Vietnamese,"<div className=""status-panel-head""><h3>过程时间线</h3></div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationDebugTab.tsx,25,Vietnamese,{translation.emptyMessage \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemDetailPanel.tsx,87,Vietnamese,"<div id={ids.itemLoading} className={loading ? ""events-empty"" : ""events-empty hidden""}>正在读取 item 详情...</div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemDetailPanel.tsx,94,Vietnamese,"<button id={ids.itemReplay} type=""button"" className=""button-link secondary"" disabled={!hasItem} onClick={onReplay}>重放当前 item</button>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,22,Vietnamese,"`第 ${pageNumberOf&#40;item&#41;} 页`,",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,55,Vietnamese,"? ""读取中...""",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,56,Vietnamese,: `共 ${total} 条，本页 ${list.length} 条，offset ${offset}，limit ${limit}`;,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,58,Vietnamese,"? ""读取中...""",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,59,Vietnamese,": total > 0 ? `第 ${currentPage} / ${totalPages} 页` : ""第 0 / 0 页"";",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,67,Vietnamese,"<div className=""translation-debug-subhead""><h4>Item 列表</h4><span id={ids.itemsMeta} className=""status-panel-note"">{meta}</span></div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,69,Vietnamese,"<div id={ids.itemsLoading} className={loading ? ""events-empty"" : ""events-empty hidden""}>正在读取翻译 item...</div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,71,Vietnamese,{translation.itemsErrorText \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,91,Vietnamese,>上一页</button>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationItemsPanel.tsx,99,Vietnamese,>下一页</button>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationSummary.tsx,20,Vietnamese,"<div className=""translation-summary-card""><span className=""label"">已翻译</span><span id={ids.countTranslated} className=""info-value"">{counts.translated ?? 0}</span></div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationSummary.tsx,21,Vietnamese,"<div className=""translation-summary-card""><span className=""label"">部分翻译</span><span id={ids.countPartiallyTranslated} className=""info-value"">{counts.partially_translated ?? 0}</spa...",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationSummary.tsx,22,Vietnamese,"<div className=""translation-summary-card""><span className=""label"">保留原文</span><span id={ids.countKeptOrigin} className=""info-value"">{counts.kept_origin ?? 0}</span></div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationSummary.tsx,23,Vietnamese,"<div className=""translation-summary-card""><span className=""label"">失败</span><span id={ids.countFailed} className=""info-value"">{counts.failed ?? 0}</span></div>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status-detail/TranslationSummary.tsx,27,Vietnamese,"<span id={ids.listFilter} className=""status-panel-note"">{`当前列表筛选：${filterText}`}</span>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ProgressBlock.tsx,34,Vietnamese,const ringMetaText = componentText \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ProgressBlock.tsx,35,Vietnamese,"const footPercentText = indeterminate ? ""处理中"" : `${rounded}%`;",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ProgressBlock.tsx,44,Vietnamese,"aria-label=""任务进度""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/ProgressBlock.tsx,65,Vietnamese,"<div className=""status-progress-ring-wrap"" aria-label=""任务进度百分比"">",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/ProgressBlock.tsx,70,Vietnamese,"aria-label=""任务进度""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/ResultActions.tsx,36,Vietnamese,const displayLabel = busyState.busy ? &#40;busyState.label \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ResultActions.tsx,90,Vietnamese,"<ActionLink id={STATUS_CARD_ACTION_IDS.markdownBundle} label=""下载 Markdown"" ready={markdownBundleReady} url={markdownBundleUrl} />",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ResultActions.tsx,91,Vietnamese,"<ActionLink id={STATUS_CARD_ACTION_IDS.sourcePdf} label=""下载原始 PDF"" ready={sourcePdfReady} url={sourcePdfUrl} />",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ResultActions.tsx,92,Vietnamese,"<ActionLink id={STATUS_CARD_ACTION_IDS.reader} label=""对照阅读"" ready={readerReady} url={readerUrl} onClick={onReaderClick} />",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/ResultActions.tsx,93,Vietnamese,"<ActionLink id={STATUS_CARD_ACTION_IDS.pdf} label=""下载 PDF"" ready={pdfReady} url={pdfUrl} />",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StageFlow.tsx,47,Vietnamese,<div id={flowId \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StageRetry.tsx,39,Vietnamese,{action.label \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,57,Vietnamese,"label: ""重新 OCR"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,62,Vietnamese,"label: ""重新翻译"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,67,Vietnamese,"label: ""重新渲染"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,103,Vietnamese,"""渲染完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,104,Vietnamese,"""任务完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,105,Vietnamese,"""处理完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,106,Vietnamese,"""已完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,107,Vietnamese,"""完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,108,Vietnamese,"""翻译PDF已生成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,109,Vietnamese,"""可以对照阅读"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,110,Vietnamese,"""处理完成，可以对照阅读"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,115,Vietnamese,if &#40;/^&#40;渲染\,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,145,Vietnamese,"title: ""从 OCR 重新执行"",",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,198,Vietnamese,\,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,254,Vietnamese,"aria-label=""取消任务""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,258,Vietnamese,取消,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,270,Vietnamese,"aria-label=""任务详情""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,273,Vietnamese,详情,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,287,Vietnamese,{/* 标题行：左侧状态文案，右侧「重新 xxx」（仅当前阶段） */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardEmbedded.tsx,319,Vietnamese,"aria-label=""翻译进度""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,77,Vietnamese,"aria-label=""取消任务""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,78,Vietnamese,"title=""取消任务""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,82,Vietnamese,<span>取消</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,94,Vietnamese,"aria-label=""任务详情""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,95,Vietnamese,"title=""任务详情""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,98,Vietnamese,<span>详情</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/StatusCardMain.tsx,120,Vietnamese,"aria-label=""任务阶段动画""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/SubstageFlow.tsx,23,Vietnamese,"aria-label=""任务子阶段""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,56,Vietnamese,\,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,57,Vietnamese,\,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,76,Vietnamese,stage_detail: &#40;fallbackItem.stage_detail as string&#41; \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,93,Vietnamese,"label: ""完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,94,Vietnamese,"value: ""翻译 PDF 已生成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,95,Vietnamese,detail: `${fallbackItem.stage_detail \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,100,Vietnamese,"progressFallbackText: ""完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,101,Vietnamese,"progressText: ""渲染完成"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,117,Vietnamese,"label: ""失败"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,118,Vietnamese,"value: ""任务失败"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,130,Vietnamese,label: snapshot?.label \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/merge-snapshot-with-fallback.ts,146,Vietnamese,"return status === ""queued"" &amp;&amp; detail.includes&#40;""正在读取任务状态""&#41;;",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/progress-model.ts,98,Vietnamese,const text = progressText \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/progress-model.ts,116,Vietnamese,const text = progressText \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/progress-model.ts,150,Vietnamese,const text = progressText \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/status-card-store.ts,178,Vietnamese,"label: ""等待中"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/status-card-store.ts,179,Vietnamese,"value: ""准备中"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/use-status-card-model.ts,186,Vietnamese,": statusStageLabel&#40;selection.selectedStageKey, ""阶段""&#41;;",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/status/useElapsedTicker.ts,27,Vietnamese,"void tick; // 仅用于每秒触发重渲,值本身不参与计算",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,32,Vietnamese,"<strong id=""credential-gate-title"">请先完成 API 设置</strong>",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,33,Vietnamese,"<em id=""credential-gate-help"">在设置 → API 设置中填写 OCR Token 和 DeepSeek Key 后即可上传 PDF。</em>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,35,Vietnamese,打开设置,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,58,Vietnamese,"aria-label=""翻译页码范围""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,61,Vietnamese,<span>起始页</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,76,Vietnamese,<span>结束页</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,84,Vietnamese,"placeholder=""总页数""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,107,Vietnamese,"<a href={budget.topUpUrl} target=""_blank"" rel=""noopener noreferrer"">去充值</a>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,180,Vietnamese,<span>单个 PDF</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,181,Vietnamese,<span>最大 50MB</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,182,Vietnamese,<span>最多 999 页</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,202,Vietnamese,{/* 上传完成后给出明确二选一：直接翻译（提交 job）/ 仅收藏（关对话框入库） */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,208,Vietnamese,文件已就绪：可<strong>直接翻译</strong>，或<strong>仅收藏</strong>到书架稍后再翻。,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,217,Vietnamese,"aria-label=""专业翻译设置""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,218,Vietnamese,"title=""页码范围等专业选项""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,221,Vietnamese,选项,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,228,Vietnamese,"title=""只加入书架，不开始翻译""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,231,Vietnamese,仅收藏,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,238,Vietnamese,"title=""上传完成后立即发起翻译任务""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/HeroUpload.tsx,240,Vietnamese,"{workflow.submitBusy ? ""提交中…"" : &#40;workflow.submitLabel \",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,70,Vietnamese,"<h2 id=""page-range-title"">专业翻译</h2>",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,73,Vietnamese,"<button id=""page-range-close-btn"" type=""button"" className=""dialog-close-btn"" aria-label=""关闭"">×</button>",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,77,Vietnamese,"<p id=""page-range-limit-text"" className=""muted"">选择本次翻译使用的术语表。页码范围可直接在上传区域填写。</p>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,79,Vietnamese,<span>术语表</span>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,85,Vietnamese,"<option value="""">不使用术语表</option>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,93,Vietnamese,<option value={selectedId}>{`已删除或不可用: ${selectedId}`}</option>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,104,Vietnamese,不使用,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/PageRangeDialog.tsx,112,Vietnamese,完成,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,92,Vietnamese,"label: ""添加 PDF"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,95,Vietnamese,"help: ""上传后会先完成文件校验，再进入任务处理。"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,97,Vietnamese,"status: ""尚未选择文件"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,101,Vietnamese,"progressText: ""上传中"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,185,Vietnamese,"progressText: hasNumbers ? `上传中 ${percent.toFixed&#40;0&#41;}%` : ""上传中"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,194,Vietnamese,"progressText: ""上传中"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,212,Vietnamese,"progressText: ""上传中"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/upload/upload-view-store.ts,214,Vietnamese,"status: ""未上传文件"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/TranslationWorkflowDialog.tsx,136,Vietnamese,"aria-label=""关闭""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/workflow/TranslationWorkflowDialog.tsx,146,Vietnamese,"aria-label=""任务进度""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/workflow/TranslationWorkflowDialog.tsx,148,Vietnamese,{/* status 侧 props 默认值在另一批收紧;此处补齐调用侧以满足当前签名 */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/WorkflowPanel.tsx,23,Vietnamese,检测到上一个任务仍在处理中。建议先等待当前任务结束，再提交新的 PDF。,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,94,Vietnamese,"submitLabel: ""直接翻译"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,192,Vietnamese,"label: ""Mock 模式"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,194,Vietnamese,help: `当前为 mock 模式：${mockScenario \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,195,Vietnamese,"status: ""Mock 模式已启用，可直接点击开始翻译。"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,221,Vietnamese,"label: !uploadReady ? &#40;needsUpload ? defaultFileLabel : ""复用已有任务产物""&#41; : """",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,226,Vietnamese,? `当前将复用任务: ${renderSourceJobId}`,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/workflow/workflow-view-store.ts,227,Vietnamese,": ""请先在开发者设置里填写 Render 源任务 ID。""&#41;",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,15,Vietnamese,"list_documents: ""确认文档信息"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,16,Vietnamese,"read_blocks: ""阅读相关段落"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,17,Vietnamese,"search_favorites: ""查找收藏"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,18,Vietnamese,"search_fulltext: ""检索文档内容"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,103,Vietnamese,return `\n\n引用：\n${citations,False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,105,Vietnamese,".map&#40;&#40;item, index&#41; => `${index + 1}. ${item.title \",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,116,Vietnamese,"const action = label ? `正在${label}…` : ""正在检索文档…"";",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,271,Vietnamese,"const pageLabel = Number.isFinite&#40;pageIdx&#41; &amp;&amp; pageIdx >= 0 ? ` · 第 ${pageIdx + 1} 页` : """";",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/answer-view.ts,276,Vietnamese,text: `&#91;${citation.ref}&#93; ${clipSnippet&#40;citation.snippet \,False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,45,Vietnamese,"const &#91;composer, setComposer&#93; = useState&#40;{ phase: ""idle"", text: ""准备中…"" }&#41;;",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,83,Vietnamese,title: title \,False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,123,Vietnamese,"const entry = appendMessage&#40;{ role, title: role === ""user"" ? ""你"" : ""助手"" }&#41;;",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,148,Vietnamese,"setComposerState&#40;""busy"", remoteAnswerer ? ""正在连接…"" : ""正在加载文档…""&#41;;",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,150,Vietnamese,"setComposerState&#40;""ready"", remoteAnswerer ? ""可以提问"" : ""可基于文档内容回答""&#41;;",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,154,Vietnamese,"setComposerState&#40;""disabled"", error?.message \",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,159,Vietnamese,"setComposerState&#40;""ready"", ""在线问答暂不可用，已用本地检索""&#41;;",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,162,Vietnamese,"setComposerState&#40;""disabled"", fallbackError?.message \",False,review,manual
UI -> Vietnamese,frontend/src/pages/reader/legacy/ai/use-reader-ai-chat.ts,181,Vietnamese,reason: error?.message \,False,review,manual
